S12A2_HUMAN
KDM1A_HUMAN
S15A4_HUMAN
RL4_HUMAN
CLPX_HUMAN
CATIN_HUMAN
RCC2_HUMAN
SORT_HUMAN
MAN1_HUMAN
PRDX5_HUMAN
NCOA2_HUMAN
PDLI3_HUMAN
MSL1_HUMAN
MSH6_HUMAN
PSMD4_HUMAN
Q5VWC4_HUMAN
PI51C_HUMAN
PI51A_HUMAN
PI51B_HUMAN
SPD2B_HUMAN
SPD2A_HUMAN
SELS_HUMAN
TRUB1_HUMAN
RNBP6_HUMAN
IPO5_HUMAN
MICA1_HUMAN
MICA3_HUMAN
MICA3_HUMAN
MICA2_HUMAN
MICA2_HUMAN
ADCK4_HUMAN
CP058_HUMAN
ZFPL1_HUMAN
EDC4_HUMAN
MAGD2_HUMAN
MAGD1_HUMAN
TROP_HUMAN
SPN90_HUMAN
PFD4_HUMAN
TYDP2_HUMAN
SHIP2_HUMAN
KDEL1_HUMAN
TXLNB_HUMAN
RPF1_HUMAN
CDC27_HUMAN
EXOSX_HUMAN
TFR1_HUMAN
FUMH_HUMAN
TLN1_HUMAN
TLN2_HUMAN
RL17_HUMAN
TOM70_HUMAN
TACC2_HUMAN
TACC2_HUMAN
TACC1_HUMAN
H0Y9Y7_HUMAN
NSUN5_HUMAN
CBR4_HUMAN
SYWC_HUMAN
CTNA1_HUMAN
CTNA3_HUMAN
CTNA2_HUMAN
EFHD2_HUMAN
EFHD1_HUMAN
EGLN1_HUMAN
RUFY1_HUMAN
RUFY2_HUMAN
RUFY3_HUMAN
STRP1_HUMAN
STRP2_HUMAN
Q5TM15_HUMAN
FHL2_HUMAN
ARI1A_HUMAN
ARI1B_HUMAN
FYCO1_HUMAN
LZTS2_HUMAN
GYS1_HUMAN
NDUA8_HUMAN
ACBD6_HUMAN
TITIN_HUMAN
TITIN_HUMAN
TITIN_HUMAN
TITIN_HUMAN
TITIN_HUMAN
DC1I2_HUMAN
DC1I1_HUMAN
A2TKE4_HUMAN
HSP71_HUMAN
HS71L_HUMAN
GRP78_HUMAN
HSP76_HUMAN
GRP75_HUMAN
HSP7C_HUMAN
HSP72_HUMAN
SFXN2_HUMAN
SDA1_HUMAN
AAKG2_HUMAN
G8JLM0_HUMAN
AAKG1_HUMAN
G45IP_HUMAN
P20D2_HUMAN
SPTC1_HUMAN
CKAP5_HUMAN
TPC11_HUMAN
PR40B_HUMAN
PR40A_HUMAN
ACD10_HUMAN
ALDH2_HUMAN
AL1B1_HUMAN
AL1A1_HUMAN
STIP1_HUMAN
NNTM_HUMAN
UBXN4_HUMAN
ANK3_HUMAN
ANK3_HUMAN
ANK2_HUMAN
ANK1_HUMAN
H0Y931_HUMAN
D6RIY9_HUMAN
AFG32_HUMAN
CCDB1_HUMAN
EFNB1_HUMAN
EFNB2_HUMAN
RBM39_HUMAN
RBM23_HUMAN
RB3GP_HUMAN
CHCH3_HUMAN
CNOT1_HUMAN
